repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/001	3.71794462812064	14.2239274341483	10097379000	11	6	HGT
AJB/007/001	-0.835227136517241	-0.519615680363274	12	0	-0.5	HGT
AJB/007/001	0.378952000719527	0.709012912512692	4	-1	-0.5	HGT
AJB/007/001	0.986041569337911	2.85911295004563	6075	4	2.5	HGT
AJB/007/001	2.80731027519306	10.2308845073014	924618240	6	3.5	HGT
AJB/007/001	2.20022070657468	3.16627009826463	12	2	1	HGT
AJB/007/001	0.0754072164103351	4.70205583935958	5749380	4	2	HGT
AJB/007/001	2.50376549088387	10.2308845073014	30005640000	11	5.5	HGT
AJB/007/001	1.5931311379563	1.93764150538866	120	5	2.5	HGT
AJB/007/001	-0.531682352208049	-0.212458532144282	1	-1	-1	HGT
AJB/007/001	-0.835227136517241	-0.826772828582266	1	-1	-1	HGT
AJB/007/001	0.378952000719527	1.01617006073168	18	0	0.5	HGT
AJB/007/001	0.378952000719527	0.401855764293701	1	-1	-1	HGT
AJB/007/001	1.2895863536471	2.55195580182664	160	4	2	HGT
AJB/007/001	0.0754072164103351	1.63048435716967	10.5	3	1.5	HGT
AJB/007/001	1.89667592226549	2.55195580182664	800	3	1.5	HGT
AJB/007/001	0.378952000719527	1.01617006073168	81	1	1	HGT
AJB/007/001	-0.228137567898857	-0.212458532144282	1	-1	-1	HGT
AJB/007/001	2.20022070657468	3.47342724648362	60	4	2	HGT
AJB/007/001	1.5931311379563	5.31637013579757	8640000	6	2.5	HGT
AJB/007/001	0.378952000719527	1.01617006073168	36	3	1	HGT
AJB/007/001	0.682496785028719	2.55195580182664	32256	3	1	HGT
AJB/007/001	0.0754072164103351	0.401855764293701	108	2	1.5	HGT
AJB/007/001	2.20022070657468	19.7527561020902	4628213333333.33	12	5.5	HGT
AJB/007/001	1.2895863536471	1.63048435716967	63	2	0.5	HGT
AJB/007/001	1.89667592226549	2.24479865360765	72	0	1	HGT
AJB/007/001	0.682496785028719	4.0877415429216	18333.3333333333	7	3	HGT
AJB/007/001	1.2895863536471	4.39489869114059	7500	4	2	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	1	-1	-0.5	HGT
AJB/007/001	3.11085505950226	16.3740274716813	384596100000	10	4.5	HGT
AJB/007/001	1.2895863536471	1.93764150538866	3	-1	-0.5	HGT
AJB/007/001	0.682496785028719	1.32332720895068	800	2	1.5	HGT
AJB/007/001	1.89667592226549	3.47342724648362	7776	6	3	HGT
AJB/007/001	-0.228137567898857	0.709012912512692	1008	-1	-1	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	6.75	-1	-1	HGT
AJB/007/001	0.0754072164103351	0.709012912512692	18	0	0	HGT
AJB/007/001	0.986041569337911	1.93764150538866	5	1	1	HGT
AJB/007/001	2.80731027519306	5.62352728401656	441	6	3	HGT
AJB/007/001	-0.835227136517241	-0.826772828582266	2	0	-0.5	HGT
AJB/007/001	0.682496785028719	1.01617006073168	162	0	0.5	HGT
AJB/007/001	0.682496785028719	1.32332720895068	40.5	3	2	HGT
AJB/007/001	1.2895863536471	1.63048435716967	144	1	1	HGT
AJB/007/001	-0.835227136517241	-0.826772828582266	1	-1	-1	HGT
AJB/007/001	-1.44231670513563	-1.44108712502025	1	-1	-1	HGT
AJB/007/001	0.682496785028719	1.32332720895068	336	2	0.5	HGT
AJB/007/001	-0.228137567898857	0.401855764293701	60	-1	-1	HGT
AJB/007/001	1.89667592226549	5.93068443223555	590625	7	3.5	HGT
AJB/007/001	1.5931311379563	2.85911295004563	105	3	2	HGT
AJB/007/001	4.32503419673902	15.1453988788053	15199212600	9	5	HGT
AJB/007/001	2.80731027519306	7.46647017333051	410156.25	6	3	HGT
AJB/007/001	2.20022070657468	3.47342724648362	45	1	1.5	HGT
AJB/007/001	2.20022070657468	3.47342724648362	540	2	2	HGT
AJB/007/001	0.378952000719527	0.709012912512692	80	2	0.5	HGT
AJB/007/001	-0.228137567898857	0.401855764293701	1.5	-1	-1	HGT
AJB/007/001	0.378952000719527	0.709012912512692	2.25	-1	-1	ILS
AJB/007/001	-2.65649584237239	-2.66971571789622	1	-1	-1	ILS
AJB/007/001	-1.13877192082643	-1.13392997680126	1	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.709012912512692	4.28571428571447	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	1.5	1	0.5	ILS
AJB/007/001	0.986041569337911	1.32332720895068	7.61904761904795	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.13392997680126	1.5	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.13392997680126	1	-1	-1	ILS
AJB/007/001	-0.228137567898857	0.0946986160747092	4.5	-1	-1	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1.5	-1	-1	ILS
AJB/007/001	0.682496785028719	1.32332720895068	72	1	0.5	ILS
AJB/007/001	-0.835227136517241	-0.826772828582266	2	0	-0.5	ILS
AJB/007/001	1.2895863536471	1.93764150538866	1.5	0	0	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	4.28571428571447	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.0946986160747092	2	1	0	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	4	-1	-1	ILS
AJB/007/001	-0.531682352208049	-0.212458532144282	1	-1	-1	ILS
AJB/007/001	-0.835227136517241	-0.519615680363274	1	-1	-1	ILS
AJB/007/001	-1.13877192082643	-1.13392997680126	2	-1	-1	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	2	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.13392997680126	1	-1	-1	ILS
AJB/007/001	0.378952000719527	0.401855764293701	1	-1	-0.5	ILS
AJB/007/001	0.378952000719527	0.709012912512692	3	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	1.5	-1	-1	ILS
AJB/007/001	-0.228137567898857	0.401855764293701	3	3	1	ILS
AJB/007/001	-0.531682352208049	-0.519615680363274	1.90476190476199	-1	-1	ILS
AJB/007/001	0.682496785028719	1.01617006073168	4.5	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.0946986160747092	3	-1	-1	ILS
AJB/007/001	0.378952000719527	0.709012912512692	2.25	-1	-0.5	ILS
AJB/007/001	0.986041569337911	1.63048435716967	1.5	0	-0.5	ILS
AJB/007/001	-0.228137567898857	0.401855764293701	36	0	0	ILS
AJB/007/001	0.378952000719527	0.709012912512692	1.5	0	-0.5	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	1	0	-0.5	ILS
AJB/007/001	-0.835227136517241	-0.519615680363274	1.5	-1	-1	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	1	-1	-1	ILS
AJB/007/001	-0.228137567898857	0.0946986160747092	1	-1	-0.5	ILS
AJB/007/001	-0.531682352208049	0.0946986160747092	3	-1	-1	ILS
AJB/007/001	0.378952000719527	0.709012912512692	1	0	-0.5	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	1	-1	-1	ILS
AJB/007/001	0.378952000719527	1.63048435716967	36	1	0.5	ILS
AJB/007/001	0.0754072164103351	0.0946986160747092	2	-1	-0.5	ILS
AJB/007/001	0.682496785028719	1.93764150538866	2.25	2	1.5	ILS
AJB/007/001	0.986041569337911	1.63048435716967	15	0	0.5	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	27	-1	-1	ILS
AJB/007/001	1.2895863536471	1.93764150538866	6	-1	0	ILS
AJB/007/001	0.682496785028719	0.709012912512692	2	-1	-1	ILS
AJB/007/001	0.682496785028719	1.32332720895068	1.5	3	2	ILS
AJB/007/001	0.378952000719527	0.709012912512692	1	1	0.5	ILS
AJB/007/001	0.986041569337911	1.32332720895068	1	-1	-1	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1.5	-1	-1	ILS
AJB/007/001	-1.13877192082643	-1.13392997680126	2	-1	-1	ILS
AJB/007/001	0.682496785028719	0.709012912512692	1	2	0.5	ILS
AJB/007/001	-0.228137567898857	0.0946986160747092	2	0	0	ILS
AJB/007/001	0.682496785028719	1.01617006073168	12	0	-0.5	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1	-1	-1	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	102.857142857147	0	0	ILS
AJB/007/001	0.0754072164103351	0.709012912512692	9	0	-0.5	ILS
AJB/007/001	0.0754072164103351	0.0946986160747092	1.5	-1	-1	ILS
AJB/007/001	-2.3529510580632	-2.36255856967722	1	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	3	1	0	ILS
AJB/007/001	0.682496785028719	0.709012912512692	6	-1	-1	ILS
AJB/007/001	1.5931311379563	2.85911295004563	4.5	0	1	ILS
AJB/007/001	0.986041569337911	1.93764150538866	81	0	-0.5	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	2.25	-1	-1	ILS
AJB/007/001	0.682496785028719	1.32332720895068	9	-1	-0.5	ILS
AJB/007/001	0.986041569337911	1.01617006073168	3	0	0.5	ILS
AJB/007/001	0.378952000719527	0.401855764293701	1.5	0	-0.5	ILS
AJB/007/001	1.2895863536471	1.93764150538866	2	0	0	ILS
AJB/007/001	0.0754072164103351	1.01617006073168	8	2	0.5	ILS
AJB/007/001	-1.74586148944482	-1.44108712502025	3	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	1.5	-1	0	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	1	-1	-0.5	ILS
AJB/007/001	-0.531682352208049	0.0946986160747092	5.71428571428596	0	-0.5	ILS
AJB/007/001	-0.835227136517241	-0.826772828582266	1	-1	-1	ILS
AJB/007/001	-1.13877192082643	-0.212458532144282	12.8571428571434	-1	-1	ILS
AJB/007/001	-0.835227136517241	-0.212458532144282	27	-1	-0.5	ILS
AJB/007/001	-2.04940627375401	-2.05540142145823	1	-1	-1	ILS
AJB/007/001	-0.531682352208049	-0.212458532144282	6	-1	-1	ILS
AJB/007/001	1.2895863536471	1.32332720895068	15	0	1	ILS
AJB/007/001	-0.531682352208049	-0.212458532144282	4	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	2	-1	-1	ILS
AJB/007/001	-0.835227136517241	-0.826772828582266	1	-1	-0.5	ILS
AJB/007/001	0.986041569337911	1.01617006073168	3	0	0	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1	1	0	ILS
