repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/029/shallow_	2.41445961021789	9.76362253338352	472469760	3	4	HGT
AJB/007/029/shallow_	0.82230107636548	1.38166955652219	1.66666666666667	-0.5	0	ILS
AJB/007/029/shallow_	0.503869369594998	0.822872691398101	1.5	-1	0	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.294721038850077	3	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	2	-1	-1	ILS
AJB/007/029/shallow_	-2.99887940488031	-2.80930693190848	1.5	-1	-0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.0153226062880324	2.66666666666667	-1	-1	ILS
AJB/007/029/shallow_	2.41445961021789	7.52843507288716	723515.625	3	3.5	HGT
AJB/007/029/shallow_	0.185437662824516	-0.0153226062880324	1.66666666666667	0	0	ILS
AJB/007/029/shallow_	1.45916448990645	1.94046642164628	9	0.5	0.5	ILS
AJB/007/029/shallow_	-1.4067208710279	0.264075826274012	52.6829268292695	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-1.13291633653621	1.5	-1	-1	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.294721038850077	1	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	-0.0153226062880324	3	-1	-1	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.853517903974165	1	0.5	0.5	ILS
AJB/007/029/shallow_	-1.4067208710279	-1.6917132016603	1.33333333333333	-1	0	ILS
AJB/007/029/shallow_	-1.4067208710279	-1.6917132016603	1	-0.5	-0.5	ILS
AJB/007/029/shallow_	-1.4067208710279	-0.853517903974165	2.19512195121956	-1	-1	ILS
AJB/007/029/shallow_	-1.4067208710279	-1.6917132016603	1	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	-0.0153226062880324	2.66666666666667	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	1	-1	-1	ILS
AJB/007/029/shallow_	1.14073278313596	3.05806015189446	1955.55555555556	0.5	1	HGT
AJB/007/029/shallow_	-2.36201599133934	-2.52990849934643	2	-1	-0.5	ILS
AJB/007/029/shallow_	0.82230107636548	1.38166955652219	6	-1	-0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.0153226062880324	36	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	1.66106798908423	13.8271604938272	-1	0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.0153226062880324	1	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	1.66106798908423	6.75	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.0153226062880324	35.5555555555556	0.5	0.5	HGT
AJB/007/029/shallow_	-0.451425750716449	-0.0153226062880324	1.5	-0.5	0.5	HGT
AJB/007/029/shallow_	0.185437662824516	0.543474258836056	2.85714285714298	-1	-0.5	ILS
AJB/007/029/shallow_	0.82230107636548	1.94046642164628	1.33333333333333	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	0.543474258836056	2	-1	-0.5	ILS
AJB/007/029/shallow_	1.14073278313596	0.543474258836056	1.33333333333333	-1	1	ILS
AJB/007/029/shallow_	0.503869369594998	0.264075826274012	1	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	1.94046642164628	64	0.5	1	HGT
AJB/007/029/shallow_	0.82230107636548	4.45505231470468	2646428.57142869	1.5	2.5	HGT
AJB/007/029/shallow_	0.82230107636548	1.10227112396014	1	-1	-1	ILS
AJB/007/029/shallow_	0.82230107636548	3.89625544958059	829440	3.5	3.5	HGT
AJB/007/029/shallow_	0.185437662824516	-0.0153226062880324	5	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	12	0	0.5	ILS
AJB/007/029/shallow_	0.185437662824516	1.94046642164628	4.5	0.5	1	ILS
